Lat,Long
30.277553492,-97.742098898
30.277553492,-97.742098898
30.277553492,-97.742098898
30.277553492,-97.742098898
30.277553492,-97.742098898
30.250303179,-97.754859267
30.250303179,-97.754859267
30.250303179,-97.754859267
30.250303179,-97.754859267
30.250303179,-97.754859267
30.250303179,-97.754859267
30.312347794,-97.715299128
30.312347794,-97.715299128
30.312347794,-97.715299128
30.312347794,-97.715299128
30.312347794,-97.715299128
30.269827442,-97.749063289
30.269827442,-97.749063289
30.284073102,-97.745912951
30.284073102,-97.745912951
30.284073102,-97.745912951
30.284073102,-97.745912951
30.271764428,-97.753938594
30.271764428,-97.753938594
30.271764428,-97.753938594
30.271764428,-97.753938594
30.210917034,-97.968964751
30.210917034,-97.968964751
30.210917034,-97.968964751
30.210917034,-97.968964751
30.210917034,-97.968964751
30.259426947,-97.707079901
30.259426947,-97.707079901
30.259426947,-97.707079901
30.259426947,-97.707079901
30.259426947,-97.707079901
30.259426947,-97.707079901
30.264001505,-97.741689838
30.264001505,-97.741689838
30.264001505,-97.741689838
30.264001505,-97.741689838
30.267244026,-97.739977547
30.267244026,-97.739977547
30.267244026,-97.739977547
30.267244026,-97.739977547
30.302844925,-97.745102897
30.302844925,-97.745102897
30.302844925,-97.745102897
30.302844925,-97.745102897
30.302844925,-97.745102897
30.302975133,-97.745372531
30.302975133,-97.745372531
30.302975133,-97.745372531
30.302975133,-97.745372531
30.302975133,-97.745372531
30.360311524,-97.790130613
30.360311524,-97.790130613
30.248244052,-97.770608655
30.336444311,-97.805315383
30.336444311,-97.805315383
30.336444311,-97.805315383
30.336444311,-97.805315383
30.336444311,-97.805315383
30.396043783,-97.844729183
30.396043783,-97.844729183
30.396043783,-97.844729183
30.396043783,-97.844729183
30.396043783,-97.844729183
30.396043783,-97.844729183
30.224624579,-97.770624787
30.224624579,-97.770624787
30.224624579,-97.770624787
30.224624579,-97.770624787
30.224624579,-97.770624787
30.267027397,-97.739002717
30.267027397,-97.739002717
30.267027397,-97.739002717
30.267027397,-97.739002717
30.267027397,-97.739002717
30.266904103,-97.738778022
30.266904103,-97.738778022
30.266904103,-97.738778022
30.266987068,-97.738863291
30.266987068,-97.738863291
30.266987068,-97.738863291
30.266987068,-97.738863291
30.140563316,-97.828140934
30.140563316,-97.828140934
30.140563316,-97.828140934
30.140563316,-97.828140934
30.140563316,-97.828140934
30.140563316,-97.828140934
30.261605912,-97.722290021
30.261605912,-97.722290021
30.261605912,-97.722290021
30.261605912,-97.722290021
30.261605912,-97.722290021
30.261605912,-97.722290021
30.210554066,-97.786909986
30.210554066,-97.786909986
30.210554066,-97.786909986
30.210554066,-97.786909986
30.210554066,-97.786909986
30.210554066,-97.786909986
30.202846453,-97.837526269
30.2817236,-97.742037827
30.202846453,-97.837526269
30.244863257,-97.729620838
30.252961493,-97.763458746
30.2817236,-97.742037827
30.244863257,-97.729620838
30.281907965,-97.775875735
30.202846453,-97.837526269
30.281907965,-97.775875735
30.2817236,-97.742037827
30.244863257,-97.729620838
30.454742171,-97.826560003
30.281907965,-97.775875735
30.202846453,-97.837526269
30.252961493,-97.763458746
30.454742171,-97.826560003
30.2817236,-97.742037827
30.281907965,-97.775875735
30.252961493,-97.763458746
30.244863257,-97.729620838
30.252961493,-97.763458746
30.454742171,-97.826560003
30.244863257,-97.729620838
30.454742171,-97.826560003
30.454742171,-97.826560003
30.2817236,-97.742037827
30.281907965,-97.775875735
30.454742171,-97.826560003
30.2817236,-97.742037827
30.252961493,-97.763458746
30.252961493,-97.763458746
30.281907965,-97.775875735
30.202846453,-97.837526269
30.244863257,-97.729620838
30.232424375,-97.737240878
30.232424375,-97.737240878
30.232424375,-97.737240878
30.232424375,-97.737240878
30.232424375,-97.737240878
30.232424375,-97.737240878
30.278217206,-97.743773164
30.278217206,-97.743773164
30.278217206,-97.743773164
30.278217206,-97.743773164
30.278217206,-97.743773164
30.278217206,-97.743773164
30.416499563,-97.745932563
30.416499563,-97.745932563
30.416499563,-97.745932563
30.416499563,-97.745932563
30.243239692,-97.752010826
30.243239692,-97.752010826
30.243239692,-97.752010826
30.243239692,-97.752010826
30.243239692,-97.752010826
30.243239692,-97.752010826
30.209097581,-97.804575618
30.209097581,-97.804575618
30.209097581,-97.804575618
30.209097581,-97.804575618
30.209097581,-97.804575618
30.209097581,-97.804575618
30.335014329,-97.739759766
30.335014329,-97.739759766
30.335014329,-97.739759766
30.335014329,-97.739759766
30.473340585,-97.783105987
30.473340585,-97.783105987
30.473340585,-97.783105987
30.188414123,-97.765588163
30.188414123,-97.765588163
30.188414123,-97.765588163
30.188414123,-97.765588163
30.188414123,-97.765588163
30.416122294,-97.748760239
30.416122294,-97.748760239
30.416122294,-97.748760239
30.416122294,-97.748760239
30.172248761,-97.799439898
30.39767342,-97.928730987
30.39767342,-97.928730987
30.39767342,-97.928730987
30.39767342,-97.928730987
30.37864548,-97.711747795
30.37864548,-97.711747795
30.37864548,-97.711747795
30.37864548,-97.711747795
30.16480988,-97.692902131
30.16480988,-97.692902131
30.16480988,-97.692902131
30.16480988,-97.692902131
30.44853172,-97.619726416
30.44853172,-97.619726416
30.44853172,-97.619726416
30.44853172,-97.619726416
30.206884239,-97.795646999
30.206884239,-97.795646999
30.206884239,-97.795646999
30.387105533,-97.649053294
30.387105533,-97.649053294
30.387105533,-97.649053294
30.322635366,-97.694304553
30.322635366,-97.694304553
30.322635366,-97.694304553
30.44819281,-97.683007076
30.44819281,-97.683007076
30.44819281,-97.683007076
30.355783057,-97.731099216
30.355783057,-97.731099216
30.355783057,-97.731099216
30.213494689,-97.830012239
30.213494689,-97.830012239
30.213494689,-97.830012239
30.373866967,-97.726990179
30.373866967,-97.726990179
30.373866967,-97.726990179
30.290692961,-97.74136259
30.290692961,-97.74136259
