restname,zipcode,inspdate,score,address,lat,longi,procdesc,facid,;
15th Street Cafe,78701,2013-05-22,91,"303 W 15TH ST
AUSTIN  TX 78701
(30.277553492000038  -97.74209889799994)",30.277553492,-97.742098898,Routine Inspection,2801033,;
15th Street Cafe,78701,2012-09-13,93,"303 W 15TH ST
AUSTIN  TX 78701
(30.277553492000038  -97.74209889799994)",30.277553492,-97.742098898,Routine Inspection,2801033,;
15th Street Cafe,78701,2014-12-02,93,"303 W 15TH ST
AUSTIN  TX 78701
(30.277553492000038  -97.74209889799994)",30.277553492,-97.742098898,Routine Inspection,2801033,;
15th Street Cafe,78701,2013-12-05,97,"303 W 15TH ST
AUSTIN  TX 78701
(30.277553492000038  -97.74209889799994)",30.277553492,-97.742098898,Routine Inspection,2801033,;
15th Street Cafe,78701,2014-06-18,97,"303 W 15TH ST
AUSTIN  TX 78701
(30.277553492000038  -97.74209889799994)",30.277553492,-97.742098898,Routine Inspection,2801033,;
1st Food Mart,78704,2013-06-17,100,"1410 S 1ST ST
AUSTIN  TX 78704
(30.25030317900007  -97.75485926699997)",30.250303179,-97.754859267,Routine Inspection,10677646,;
1st Food Mart,78704,2014-01-16,90,"1410 S 1ST ST
AUSTIN  TX 78704
(30.25030317900007  -97.75485926699997)",30.250303179,-97.754859267,Routine Inspection,10677646,;
1st Food Mart,78704,2015-02-09,94,"1410 S 1ST ST
AUSTIN  TX 78704
(30.25030317900007  -97.75485926699997)",30.250303179,-97.754859267,Routine Inspection,10677646,;
1st Food Mart,78704,2012-07-26,97,"1410 S 1ST ST
AUSTIN  TX 78704
(30.25030317900007  -97.75485926699997)",30.250303179,-97.754859267,Routine Inspection,10677646,;
1st Food Mart,78704,2014-07-29,90,"1410 S 1ST ST
AUSTIN  TX 78704
(30.25030317900007  -97.75485926699997)",30.250303179,-97.754859267,Routine Inspection,10677646,;
1st Food Mart,78704,2013-02-14,97,"1410 S 1ST ST
AUSTIN  TX 78704
(30.25030317900007  -97.75485926699997)",30.250303179,-97.754859267,Routine Inspection,10677646,;
1-Stop Food Store,78751,2012-09-13,97,"5101 AIRPORT BLVD
AUSTIN  TX 78751
(30.31234779400006  -97.71529912799997)",30.312347794,-97.715299128,Routine Inspection,10632697,;
1-Stop Food Store,78751,2014-07-11,93,"5101 AIRPORT BLVD
AUSTIN  TX 78751
(30.31234779400006  -97.71529912799997)",30.312347794,-97.715299128,Routine Inspection,10632697,;
1-Stop Food Store,78751,2014-12-23,100,"5101 AIRPORT BLVD
AUSTIN  TX 78751
(30.31234779400006  -97.71529912799997)",30.312347794,-97.715299128,Routine Inspection,10632697,;
